At river Tee,1,Average,2.06
Berkeley,1,Highest,Mantes: 8
Bonneville sur Touques,1,Lowest,At river Tee: 1
Brittany,1,,
Caen,4,,
Clarendon,1,,
Durham,1,,
Ely,1,,
Forest of Dean,1,,
Fécamp,3,,
Gerberoy,1,,
Gloucester,2,,
Harrying of North,1,,
Jumiéges,1,,
Le Mans,1,,
Lillebonne,1,,
London,3,,
Mantes,8,,
Oissel,1,,
Oxcessus villa,1,,
Pevensey,1,,
Rouen,5,,
Salisbury,2,,
Scotland,1,,
Senlac,2,,
St. Georges de Boscherville,1,,
St. Pierre sur Dive,1,,
Transfretation to England,2,,
Transfretation to Normandy,1,,
Vaudreuil,1,,
Westminster,7,,
Winchester,8,,
Windsor,2,,
York,1,,